content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content
bermanfaat terima kasih,bermanfaat terima kasih,bermanfaat terima kasih,"['bermanfaat', 'terima', 'kasih']","['bermanfaat', 'terima', 'kasih']"
bagus,bagus,bagus,['bagus'],['bagus']
semoga bermanfaat toko laris,semoga bermanfaat toko laris,semoga bermanfaat toko laris,"['semoga', 'bermanfaat', 'toko', 'laris']","['semoga', 'bermanfaat', 'toko', 'laris']"
bagus,bagus,bagus,['bagus'],['bagus']
membantu,membantu,membantu,['membantu'],['membantu']
bagus,bagus,bagus,['bagus'],['bagus']
membantu,membantu,membantu,['membantu'],['membantu']
membantu ekonomi,membantu ekonomi,membantu ekonomi,"['membantu', 'ekonomi']","['membantu', 'ekonomi']"
mantap,mantap,mantap,['mantap'],['mantap']
mantul,mantul,mantul,['mantul'],['mantul']
membantu kartu keluarga trimksi semoga lancar semoga kendala kedepan berkembang,membantu kartu keluarga trimksi semoga lancar semoga kendala kedepan berkembang,membantu kartu keluarga trimksi semoga lancar semoga kendala kedepan berkembang,"['membantu', 'kartu', 'keluarga', 'trimksi', 'semoga', 'lancar', 'semoga', 'kendala', 'kedepan', 'berkembang']","['membantu', 'kartu', 'keluarga', 'trimksi', 'semoga', 'lancar', 'semoga', 'kendala', 'kedepan', 'berkembang']"
oke,oke,oke,['oke'],['oke']
ok,ok,oke,['oke'],['oke']
membantu mantap,membantu mantap,membantu mantap,"['membantu', 'mantap']","['membantu', 'mantap']"
bagus nyaman,bagus nyaman,bagus nyaman,"['bagus', 'nyaman']","['bagus', 'nyaman']"
mantap kak terima kasih membantu memasarkan produk,mantap kak terima kasih membantu memasarkan produk,mantap kak terima kasih membantu memasarkan produk,"['mantap', 'kak', 'terima', 'kasih', 'membantu', 'memasarkan', 'produk']","['mantap', 'kak', 'terima', 'kasih', 'membantu', 'memasarkan', 'produk']"
cocok dipakai,cocok dipakai,cocok dipakai,"['cocok', 'dipakai']","['cocok', 'dipakai']"
fiturnya mudah pahami,fiturnya mudah pahami,fiturnya mudah pahami,"['fiturnya', 'mudah', 'pahami']","['fiturnya', 'mudah', 'pahami']"
bagus,bagus,bagus,['bagus'],['bagus']
ok bagus,ok bagus,oke bagus,"['oke', 'bagus']","['oke', 'bagus']"
mantap tap tap,mantap tap tap,mantap tap tap,"['mantap', 'tap', 'tap']","['mantap', 'tap', 'tap']"
semoga aplikasi penjualan ramai pembeli ãåââ,semoga aplikasi penjualan ramai pembeli,semoga aplikasi penjualan ramai pembeli,"['semoga', 'aplikasi', 'penjualan', 'ramai', 'pembeli']","['semoga', 'aplikasi', 'penjualan', 'ramai', 'pembeli']"
bagus,bagus,bagus,['bagus'],['bagus']
ok,ok,oke,['oke'],['oke']
keren,keren,keren,['keren'],['keren']
bagus jualan onlinemohon tingkatkan penjualan akun ya,bagus jualan onlinemohon tingkatkan penjualan akun ya,bagus jualan onlinemohon tingkatkan penjualan akun ya,"['bagus', 'jualan', 'onlinemohon', 'tingkatkan', 'penjualan', 'akun', 'ya']","['bagus', 'jualan', 'onlinemohon', 'tingkatkan', 'penjualan', 'akun']"
mantap,mantap,mantap,['mantap'],['mantap']
bermanfaat pengguna sosial media,bermanfaat pengguna sosial media,bermanfaat pengguna sosial media,"['bermanfaat', 'pengguna', 'sosial', 'media']","['bermanfaat', 'pengguna', 'sosial', 'media']"
simple,simple,simple,['simple'],['simple']
bagus,bagus,bagus,['bagus'],['bagus']
the best flatform the word,the best flatform the word,the best flatform the word,"['the', 'best', 'flatform', 'the', 'word']","['the', 'best', 'flatform', 'the', 'word']"
mantap,mantap,mantap,['mantap'],['mantap']
senang berjualan tiktok tokopedia seller,senang berjualan tiktok tokopedia seller,senang berjualan tiktok tokopedia seller,"['senang', 'berjualan', 'tiktok', 'tokopedia', 'seller']","['senang', 'berjualan', 'tiktok', 'tokopedia', 'seller']"
mantap,mantap,mantap,['mantap'],['mantap']
mantap,mantap,mantap,['mantap'],['mantap']
keren,keren,keren,['keren'],['keren']
ok,ok,oke,['oke'],['oke']
keren membantu ukm usaha bis,keren membantu ukm usaha bis,keren membantu ukm usaha bis,"['keren', 'membantu', 'ukm', 'usaha', 'bis']","['keren', 'membantu', 'ukm', 'usaha', 'bis']"
mntap,mntap,mntap,['mntap'],['mntap']
membantu leseller,membantu leseller,membantu leseller,"['membantu', 'leseller']","['membantu', 'leseller']"
mantap,mantap,mantap,['mantap'],['mantap']
mp jualan fitur mudah dipahami jarang ngelag,mp jualan fitur mudah dipahami jarang ngelag,mp jualan fitur mudah dipahami jarang ngelag,"['mp', 'jualan', 'fitur', 'mudah', 'dipahami', 'jarang', 'ngelag']","['mp', 'jualan', 'fitur', 'mudah', 'dipahami', 'jarang', 'ngelag']"
membantu,membantu,membantu,['membantu'],['membantu']
dipermudah gratis ongkirnya,dipermudah gratis ongkirnya,dipermudah gratis ongkirnya,"['dipermudah', 'gratis', 'ongkirnya']","['dipermudah', 'gratis', 'ongkirnya']"
bagus rekomended,bagus rekomended,bagus rekomended,"['bagus', 'rekomended']","['bagus', 'rekomended']"
aman,aman,aman,['aman'],['aman']
aplikasi bagus dibetulkan belanja terkadang kadang sua iklan mengganggu,aplikasi bagus dibetulkan belanja terkadang kadang sua iklan mengganggu,aplikasi bagus dibetulkan belanja terkadang kadang sua iklan mengganggu,"['aplikasi', 'bagus', 'dibetulkan', 'belanja', 'terkadang', 'kadang', 'sua', 'iklan', 'mengganggu']","['aplikasi', 'bagus', 'dibetulkan', 'belanja', 'terkadang', 'kadang', 'sua', 'iklan', 'mengganggu']"
hariharimu cerah penuh sesat ãåëœâšãåëœâšãåëœâš,hariharimu cerah penuh sesat,hariharimu cerah penuh sesat,"['hariharimu', 'cerah', 'penuh', 'sesat']","['hariharimu', 'cerah', 'penuh', 'sesat']"
sukses,sukses,sukses,['sukses'],['sukses']
mudah pahami,mudah pahami,mudah pahami,"['mudah', 'pahami']","['mudah', 'pahami']"
semoga,semoga,semoga,['semoga'],['semoga']
bagus,bagus,bagus,['bagus'],['bagus']
tik tok bagus membantu,tik tok bagus membantu,tik tok bagus membantu,"['tik', 'tok', 'bagus', 'membantu']","['tik', 'tok', 'bagus', 'membantu']"
keren,keren,keren,['keren'],['keren']
mantap,mantap,mantap,['mantap'],['mantap']
akun dibuka,akun dibuka,akun dibuka,"['akun', 'dibuka']","['akun', 'dibuka']"
bagus,bagus,bagus,['bagus'],['bagus']
semoga sukses jualan aplikasi titok,semoga sukses jualan aplikasi titok,semoga sukses jualan aplikasi titok,"['semoga', 'sukses', 'jualan', 'aplikasi', 'titok']","['semoga', 'sukses', 'jualan', 'aplikasi', 'titok']"
cepat terpercaya,cepat terpercaya,cepat terpercaya,"['cepat', 'terpercaya']","['cepat', 'terpercaya']"
bagus,bagus,bagus,['bagus'],['bagus']
bagus,bagus,bagus,['bagus'],['bagus']
membantu terima kasih,membantu terima kasih,membantu terima kasih,"['membantu', 'terima', 'kasih']","['membantu', 'terima', 'kasih']"
coba,coba,coba,['coba'],['coba']
good,good,good,['good'],['good']
bagus,bagus,bagus,['bagus'],['bagus']
muantaaap,muantaaap,muantaaap,['muantaaap'],['muantaaap']
puas,puas,puas,['puas'],['puas']
tiktok the best for bussiness,tiktok the best for bussiness,tiktok the best for bussiness,"['tiktok', 'the', 'best', 'for', 'bussiness']","['tiktok', 'the', 'best', 'for', 'bussiness']"
menyalah abangku,menyalah abangku,menyalah abangku,"['menyalah', 'abangku']","['menyalah', 'abangku']"
aplikasi membantu usaha,aplikasi membantu usaha,aplikasi membantu usaha,"['aplikasi', 'membantu', 'usaha']","['aplikasi', 'membantu', 'usaha']"
bagus,bagus,bagus,['bagus'],['bagus']
sayah kasih bintang,sayah kasih bintang,sayah kasih bintang,"['sayah', 'kasih', 'bintang']","['sayah', 'kasih', 'bintang']"
rugi pokoknya ãåââãåââãåââ,rugi pokoknya,rugi pokoknya,"['rugi', 'pokoknya']","['rugi', 'pokoknya']"
keren,keren,keren,['keren'],['keren']
enak penggunaanya,enak penggunaanya,enak penggunaanya,"['enak', 'penggunaanya']","['enak', 'penggunaanya']"
bagus peluang usaha,bagus peluang usaha,bagus peluang usaha,"['bagus', 'peluang', 'usaha']","['bagus', 'peluang', 'usaha']"
ok,ok,oke,['oke'],['oke']
membantu,membantu,membantu,['membantu'],['membantu']
good job,good job,good job,"['good', 'job']","['good', 'job']"
keren,keren,keren,['keren'],['keren']
good,good,good,['good'],['good']
semoga dimudahkan penjualan,semoga dimudahkan penjualan,semoga dimudahkan penjualan,"['semoga', 'dimudahkan', 'penjualan']","['semoga', 'dimudahkan', 'penjualan']"
tolong diperhatikan ya aplikasi pengaturan pembayaran registrasi sandinya biar dipakai kalangan terima kasih dipakai,tolong diperhatikan ya aplikasi pengaturan pembayaran registrasi sandinya biar dipakai kalangan terima kasih dipakai,tolong diperhatikan ya aplikasi pengaturan pembayaran registrasi sandinya biar dipakai kalangan terima kasih dipakai,"['tolong', 'diperhatikan', 'ya', 'aplikasi', 'pengaturan', 'pembayaran', 'registrasi', 'sandinya', 'biar', 'dipakai', 'kalangan', 'terima', 'kasih', 'dipakai']","['diperhatikan', 'aplikasi', 'pengaturan', 'pembayaran', 'registrasi', 'sandinya', 'biar', 'dipakai', 'kalangan', 'terima', 'kasih', 'dipakai']"
alhamdulillah menambah penghasilan,alhamdulillah menambah penghasilan,alhamdulillah menambah penghasilan,"['alhamdulillah', 'menambah', 'penghasilan']","['alhamdulillah', 'menambah', 'penghasilan']"
bagus,bagus,bagus,['bagus'],['bagus']
bagus agk lambat,bagus agk lambat,bagus agk lambat,"['bagus', 'agk', 'lambat']","['bagus', 'agk', 'lambat']"
membantu,membantu,membantu,['membantu'],['membantu']
top program seller,top program seller,top program seller,"['top', 'program', 'seller']","['top', 'program', 'seller']"
hiburan,hiburan,hiburan,['hiburan'],['hiburan']
aplikasi bagus membantu bermanfaat semuadan mudah mengembangkan bisnis,aplikasi bagus membantu bermanfaat semuadan mudah mengembangkan bisnis,aplikasi bagus membantu bermanfaat semuadan mudah mengembangkan bisnis,"['aplikasi', 'bagus', 'membantu', 'bermanfaat', 'semuadan', 'mudah', 'mengembangkan', 'bisnis']","['aplikasi', 'bagus', 'membantu', 'bermanfaat', 'semuadan', 'mudah', 'mengembangkan', 'bisnis']"
good job,good job,good job,"['good', 'job']","['good', 'job']"
ok,ok,oke,['oke'],['oke']
semoga jualan laris amin,semoga jualan laris amin,semoga jualan laris amin,"['semoga', 'jualan', 'laris', 'amin']","['semoga', 'jualan', 'laris', 'amin']"
mantap,mantap,mantap,['mantap'],['mantap']
bagus,bagus,bagus,['bagus'],['bagus']
tiktok tokopedia seller centre aplikasi terbaik ãåââ,tiktok tokopedia seller centre aplikasi terbaik,tiktok tokopedia seller centre aplikasi terbaik,"['tiktok', 'tokopedia', 'seller', 'centre', 'aplikasi', 'terbaik']","['tiktok', 'tokopedia', 'seller', 'centre', 'aplikasi', 'terbaik']"
mantap,mantap,mantap,['mantap'],['mantap']
aplikasi,aplikasi,aplikasi,['aplikasi'],['aplikasi']
mantap,mantap,mantap,['mantap'],['mantap']
terima kasih aplk mempermudah jualan memajukan umkm penjual pokoknya mantap aplk,terima kasih aplk mempermudah jualan memajukan umkm penjual pokoknya mantap aplk,terima kasih aplk mempermudah jualan memajukan umkm penjual pokoknya mantap aplk,"['terima', 'kasih', 'aplk', 'mempermudah', 'jualan', 'memajukan', 'umkm', 'penjual', 'pokoknya', 'mantap', 'aplk']","['terima', 'kasih', 'aplk', 'mempermudah', 'jualan', 'memajukan', 'umkm', 'penjual', 'pokoknya', 'mantap', 'aplk']"
membantu ukm,membantu ukm,membantu ukm,"['membantu', 'ukm']","['membantu', 'ukm']"
membantu,membantu,membantu,['membantu'],['membantu']
mudah berjualan,mudah berjualan,mudah berjualan,"['mudah', 'berjualan']","['mudah', 'berjualan']"
puas,puas,puas,['puas'],['puas']
ok,ok,oke,['oke'],['oke']
cakap apkx,cakap apkx,cakap apkx,"['cakap', 'apkx']","['cakap', 'apkx']"
membantu seller,membantu seller,membantu seller,"['membantu', 'seller']","['membantu', 'seller']"
good,good,good,['good'],['good']
bagus keren membantu sih kalen sih bagus debatt kasih bintang bagus keren membantu sih kalen sih bagus debatt kasih bintang bagus i love youuuu miii and poreberrrrrr wir seliwirrr mprort kejebuggg prettt grejjshsgsgdgsgs mindbsbsvgava,bagus keren membantu sih kalen sih bagus debatt kasih bintang bagus keren membantu sih kalen sih bagus debatt kasih bintang bagus i love youuuu miii and poreberrrrrr wir seliwirrr mprort kejebuggg prettt grejjshsgsgdgsgs mindbsbsvgava,bagus keren membantu sih kalen sih bagus debatt kasih bintang bagus keren membantu sih kalen sih bagus debatt kasih bintang bagus i cinta youuuu miii and poreberrrrrr wir seliwirrr mprort kejebuggg prettt grejjshsgsgdgsgs mindbsbsvgava,"['bagus', 'keren', 'membantu', 'sih', 'kalen', 'sih', 'bagus', 'debatt', 'kasih', 'bintang', 'bagus', 'keren', 'membantu', 'sih', 'kalen', 'sih', 'bagus', 'debatt', 'kasih', 'bintang', 'bagus', 'i', 'cinta', 'youuuu', 'miii', 'and', 'poreberrrrrr', 'wir', 'seliwirrr', 'mprort', 'kejebuggg', 'prettt', 'grejjshsgsgdgsgs', 'mindbsbsvgava']","['bagus', 'keren', 'membantu', 'sih', 'kalen', 'sih', 'bagus', 'debatt', 'kasih', 'bintang', 'bagus', 'keren', 'membantu', 'sih', 'kalen', 'sih', 'bagus', 'debatt', 'kasih', 'bintang', 'bagus', 'i', 'cinta', 'youuuu', 'miii', 'and', 'poreberrrrrr', 'wir', 'seliwirrr', 'mprort', 'kejebuggg', 'prettt', 'grejjshsgsgdgsgs', 'mindbsbsvgava']"
mudah simpel praktis keamanan terjamin,mudah simpel praktis keamanan terjamin,mudah simpel praktis keamanan terjamin,"['mudah', 'simpel', 'praktis', 'keamanan', 'terjamin']","['mudah', 'simpel', 'praktis', 'keamanan', 'terjamin']"
suka makan ikan kakap lagu avatar aang sepah sapah sapah sepuh,suka makan ikan kakap lagu avatar aang sepah sapah sapah sepuh,suka makan ikan kakap lagu avatar aang sepah sapah sapah sepuh,"['suka', 'makan', 'ikan', 'kakap', 'lagu', 'avatar', 'aang', 'sepah', 'sapah', 'sapah', 'sepuh']","['suka', 'makan', 'ikan', 'kakap', 'lagu', 'avatar', 'aang', 'sepah', 'sapah', 'sapah', 'sepuh']"
membantu,membantu,membantu,['membantu'],['membantu']
jual beli mudah,jual beli mudah,jual beli mudah,"['jual', 'beli', 'mudah']","['jual', 'beli', 'mudah']"
bagus,bagus,bagus,['bagus'],['bagus']
aplikasi,aplikasi,aplikasi,['aplikasi'],['aplikasi']
mantap aplikasi,mantap aplikasi,mantap aplikasi,"['mantap', 'aplikasi']","['mantap', 'aplikasi']"
aplikasi bagus mudah pemula berjualan aplikasi,aplikasi bagus mudah pemula berjualan aplikasi,aplikasi bagus mudah pemula berjualan aplikasi,"['aplikasi', 'bagus', 'mudah', 'pemula', 'berjualan', 'aplikasi']","['aplikasi', 'bagus', 'mudah', 'pemula', 'berjualan', 'aplikasi']"
ok,ok,oke,['oke'],['oke']
bagus,bagus,bagus,['bagus'],['bagus']
mantap motivasi,mantap motivasi,mantap motivasi,"['mantap', 'motivasi']","['mantap', 'motivasi']"
bagus,bagus,bagus,['bagus'],['bagus']
bagus,bagus,bagus,['bagus'],['bagus']
baikãåââ,baik,baik,['baik'],['baik']
good,good,good,['good'],['good']
top bermanfaat,top bermanfaat,top bermanfaat,"['top', 'bermanfaat']","['top', 'bermanfaat']"
pelayanan terbaik marketplace,pelayanan terbaik marketplace,pelayanan terbaik marketplace,"['pelayanan', 'terbaik', 'marketplace']","['pelayanan', 'terbaik', 'marketplace']"
oke,oke,oke,['oke'],['oke']
bagus,bagus,bagus,['bagus'],['bagus']
mantap aplikasinya fitur ditambah performanya,mantap aplikasinya fitur ditambah performanya,mantap aplikasinya fitur ditambah performanya,"['mantap', 'aplikasinya', 'fitur', 'ditambah', 'performanya']","['mantap', 'aplikasinya', 'fitur', 'ditambah', 'performanya']"
bagus alhamdulillah membantu,bagus alhamdulillah membantu,bagus alhamdulillah membantu,"['bagus', 'alhamdulillah', 'membantu']","['bagus', 'alhamdulillah', 'membantu']"
josss,josss,josss,['josss'],['josss']
mantap membantu,mantap membantu,mantap membantu,"['mantap', 'membantu']","['mantap', 'membantu']"
bagus mudah mengerti sayang gampang blokir produk kak,bagus mudah mengerti sayang gampang blokir produk kak,bagus mudah mengerti sayang gampang blokir produk kak,"['bagus', 'mudah', 'mengerti', 'sayang', 'gampang', 'blokir', 'produk', 'kak']","['bagus', 'mudah', 'mengerti', 'sayang', 'gampang', 'blokir', 'produk', 'kak']"
mudah,mudah,mudah,['mudah'],['mudah']
bagus,bagus,bagus,['bagus'],['bagus']
aplikasinya bagus,aplikasinya bagus,aplikasinya bagus,"['aplikasinya', 'bagus']","['aplikasinya', 'bagus']"
bagus,bagus,bagus,['bagus'],['bagus']
mantap,mantap,mantap,['mantap'],['mantap']
ok,ok,oke,['oke'],['oke']
mudah mengerti membantu,mudah mengerti membantu,mudah mengerti membantu,"['mudah', 'mengerti', 'membantu']","['mudah', 'mengerti', 'membantu']"
bagus orderan jarang jarang,bagus orderan jarang jarang,bagus orderan jarang jarang,"['bagus', 'orderan', 'jarang', 'jarang']","['bagus', 'orderan', 'jarang', 'jarang']"
oke,oke,oke,['oke'],['oke']
worth,worth,worth,['worth'],['worth']
bqik,bqik,bqik,['bqik'],['bqik']
bagus,bagus,bagus,['bagus'],['bagus']
mantap,mantap,mantap,['mantap'],['mantap']
bagus,bagus,bagus,['bagus'],['bagus']
bagus suka semoga laris jualan,bagus suka semoga laris jualan,bagus suka semoga laris jualan,"['bagus', 'suka', 'semoga', 'laris', 'jualan']","['bagus', 'suka', 'semoga', 'laris', 'jualan']"
ok,ok,oke,['oke'],['oke']
mudah,mudah,mudah,['mudah'],['mudah']
oke,oke,oke,['oke'],['oke']
aplikasinya bagus,aplikasinya bagus,aplikasinya bagus,"['aplikasinya', 'bagus']","['aplikasinya', 'bagus']"
oke,oke,oke,['oke'],['oke']
goodsemoga cepat pecah telur cowok,goodsemoga cepat pecah telur cowok,goodsemoga cepat pecah telur cowok,"['goodsemoga', 'cepat', 'pecah', 'telur', 'cowok']","['goodsemoga', 'cepat', 'pecah', 'telur', 'cowok']"
membantu berjualan,membantu berjualan,membantu berjualan,"['membantu', 'berjualan']","['membantu', 'berjualan']"
mantap,mantap,mantap,['mantap'],['mantap']
bagus,bagus,bagus,['bagus'],['bagus']
bagus membantu pengembangan wirausaha,bagus membantu pengembangan wirausaha,bagus membantu pengembangan wirausaha,"['bagus', 'membantu', 'pengembangan', 'wirausaha']","['bagus', 'membantu', 'pengembangan', 'wirausaha']"
mesin penghasil uang terkerenãåââãåââºãåââ,mesin penghasil uang terkeren,mesin penghasil uang terkeren,"['mesin', 'penghasil', 'uang', 'terkeren']","['mesin', 'penghasil', 'uang', 'terkeren']"
terima kasih pokoknyaãåââãåëœâãåëœâ,terima kasih pokoknya,terima kasih pokoknya,"['terima', 'kasih', 'pokoknya']","['terima', 'kasih', 'pokoknya']"
membantu,membantu,membantu,['membantu'],['membantu']
membantu umkm berjualan,membantu umkm berjualan,membantu umkm berjualan,"['membantu', 'umkm', 'berjualan']","['membantu', 'umkm', 'berjualan']"
oke,oke,oke,['oke'],['oke']
membantu,membantu,membantu,['membantu'],['membantu']
aplikasi bagus bingung penjual promosi,aplikasi bagus bingung penjual promosi,aplikasi bagus bingung penjual promosi,"['aplikasi', 'bagus', 'bingung', 'penjual', 'promosi']","['aplikasi', 'bagus', 'bingung', 'penjual', 'promosi']"
